Mistake Title,Mistake,Correction,Why it Happens,Class,Grammar Level
Misusing 'Each Other' vs. 'One Another',The three of us helped each other.,The three of us helped one another.,The distinction is subtle and often ignored.,Miscellaneous Errors,Advanced
Forgetting Irregular Comparative Forms,He is more funnier than her.,He is funnier than her.,Irregular forms like 'funnier' and 'better' are replaced with 'more.',Miscellaneous Errors,Advanced
Incorrect Use of 'Between' vs. 'Among',The secret is between all of us.,The secret is among all of us.,'Between' is often misapplied to more than two items.,Word Choice Errors,Intermediate
Using 'Affect' Instead of 'Effect',The new rule will effect everyone.,The new rule will affect everyone.,These words are frequently confused due to their similar sounds.,Word Choice Errors,Intermediate
Omitting Necessary Prepositions,She’s married John.,She’s married to John.,Prepositions are often skipped in speech.,Article and Preposition Misuse,Intermediate
Incorrect Placement of 'Only',She only eats pizza on weekends.,She eats only pizza on weekends.,Misplacing 'only' alters sentence meaning.,Sentence Structure and Phrasing,Intermediate
Confusion Between Countable and Uncountable Nouns,There’s so many traffic today.,There’s so much traffic today.,Misunderstanding of countable vs. uncountable nouns.,Article and Preposition Misuse,Intermediate
Using 'Less' for Time,It’s less than two years ago.,It’s fewer than two years ago.,Non-standard use of 'less' for countable quantities.,Article and Preposition Misuse,Intermediate
Using 'Try And' Instead of 'Try To',I’ll try and fix it.,I’ll try to fix it.,Informal speech often substitutes 'and' for 'to.',Redundancy and Informal Speech,Intermediate
Misplacing 'Enough',She isn’t tall enough for reach the shelf.,She isn’t tall enough to reach the shelf.,Word order becomes jumbled in spontaneous speech.,Sentence Structure and Phrasing,Intermediate
Incorrect Use of 'Due To',We canceled due to the rain.,We canceled because of the rain.,'Due to' is used where 'because of' is more appropriate.,Word Choice Errors,Intermediate
Mixing Up Conditional and Indicative Statements,"If I knew him, I know what to do.","If I knew him, I would know what to do.",Incorrect verb tense matching in conditional clauses.,Tense and Verb Form Errors,Basic
Incorrect Use of Superlatives,This is the most perfect solution.,This is a perfect solution.,Superlatives like 'most' are overused.,Miscellaneous Errors,Advanced
Using 'Over-exaggerate',He always over-exaggerates.,He always exaggerates.,Redundancy in casual speech.,Redundancy and Informal Speech,Intermediate
Using 'Only' for Emphasis,I am going now only.,I am going now.,The word 'only' is often overused for emphasis due to its frequent use in local languages.,Miscellaneous Errors,Advanced
Mixing Up 'Lend' and 'Borrow',Can you borrow me some money?,Can you lend me some money?,Direct translation from native languages reverses the roles of 'lend' and 'borrow.',Word Choice Errors,Intermediate
Using 'Revert Back',Please revert back to me soon.,Please revert to me soon.,Redundancy occurs because 'revert' already means 'respond.',Miscellaneous Errors,Advanced
Dropping Articles,She is teacher.,She is a teacher.,Articles like 'a' and 'the' are absent in many South Asian languages.,Article and Preposition Misuse,Intermediate
Overusing 'Prepone',Let’s prepone the meeting to tomorrow.,Let’s move the meeting earlier to tomorrow.,'Prepone' is a uniquely Indian-English word that doesn't exist in standard English.,Miscellaneous Errors,Advanced
Confusing 'Yesterday Night',I went there yesterday night.,I went there last night.,Literal translations from native languages lead to this error.,Miscellaneous Errors,Advanced
Misusing 'Would' in Conditionals,"If I would have known, I would have helped.","If I had known, I would have helped.",Overuse of 'would' comes from a misunderstanding of conditional rules.,Tense and Verb Form Errors,Basic
Using 'Discuss About',Let’s discuss about this topic.,Let’s discuss this topic.,Adding 'about' reflects usage in native languages.,Word Choice Errors,Intermediate
Overusing 'Till',Wait here till I don’t come back.,Wait here until I come back.,Misunderstanding of 'till' and 'until' creates double negatives.,Miscellaneous Errors,Advanced
Misplacing Reflexive Pronouns,"Myself Ramesh, and I am here to help.","I am Ramesh, and I am here to help.","'Myself' is used as a formal self-introduction, influenced by native speech styles.",Pronoun and Agreement Errors,Intermediate
Incorrect Use of 'Gave an Exam',I gave my exam yesterday.,I took my exam yesterday.,Literal translation of 'give' in native languages leads to this mistake.,Word Choice Errors,Intermediate
Confusing 'Use To' with 'Used To',I use to play cricket as a child.,I used to play cricket as a child.,The subtle 'd' sound in 'used' is often missed in speech.,Tense and Verb Form Errors,Basic
Incorrect Prepositions with 'Demand',This product is in demand of customers.,This product is in demand by customers.,Misalignment of prepositions due to native influences.,Article and Preposition Misuse,Intermediate
Misusing 'Pass Out',I passed out of college last year.,I graduated from college last year.,"In South Asia, 'pass out' is commonly used for 'graduate.'",Miscellaneous Errors,Advanced
Confusion Between 'Can' and 'Could',Can you help me yesterday?,Could you help me yesterday?,Lack of awareness about tense agreement with modal verbs.,Tense and Verb Form Errors,Basic
Overuse of 'Kindly',Kindly do the needful.,Please do what is necessary.,'Kindly' is a formal word overused in official communication.,Miscellaneous Errors,Advanced
Using 'Off' Instead of 'Switch Off',Off the fan.,Switch off the fan.,Shortened forms are common in spoken English in South Asia.,Miscellaneous Errors,Advanced
Saying 'Passing Time',We are passing time at the park.,We are spending time at the park.,Literal translations from native expressions lead to this.,Miscellaneous Errors,Advanced
Mixing Up 'Fun' and 'Funny',The party was so funny.,The party was so fun.,Confusion between 'fun' (enjoyable) and 'funny' (amusing).,Word Choice Errors,Intermediate
Incorrect Word Order,What you are doing?,What are you doing?,Sentence structure mirrors native grammar rules.,Sentence Structure and Phrasing,Intermediate
Confusing 'No' and 'Not',I am no coming today.,I am not coming today.,Similar words in native languages often lead to this mix-up.,Miscellaneous Errors,Advanced
Overuse of Continuous Tense,I am knowing the answer.,I know the answer.,Continuous tense is over-applied due to local usage patterns.,Tense and Verb Form Errors,Basic
Confusion with 'Since' and 'For',I have been working here since five years.,I have been working here for five years.,Misunderstanding the difference between 'since' (a point in time) and 'for' (a duration).,Tense and Verb Form Errors,Basic
Saying 'Out of Station',He is out of station right now.,He is out of town right now.,'Out of station' is an Indian-English phrase not used in global English.,Miscellaneous Errors,Advanced
Confusion Between 'On' and 'Over',We discussed on this topic.,We discussed this topic.,Adding 'on' reflects literal translations from native languages.,Article and Preposition Misuse,Intermediate
Misusing 'Less' for Countable Nouns,There are less people in the room.,There are fewer people in the room.,'Less' is often incorrectly generalized.,Article and Preposition Misuse,Intermediate
Saying 'One of My Friend',One of my friend is coming.,One of my friends is coming.,Lack of agreement between singular and plural forms.,Pronoun and Agreement Errors,Intermediate
Using 'More Better',This option is more better.,This option is better.,Overemphasis leads to redundancy.,Miscellaneous Errors,Advanced
Adding 'Na' for Confirmation,"You are coming tomorrow, na?","You are coming tomorrow, right?",'Na' is a local speech habit used for confirmation.,Miscellaneous Errors,Advanced
Confusing 'Too' and 'Very',She is too beautiful.,She is very beautiful.,'Too' is incorrectly used for emphasis instead of 'very.',Miscellaneous Errors,Advanced
